domain,harness,arm,recipe,snapshot,seed,solved,n_tasks,pct,ci_lo,ci_hi,is_dup,is_smoke,run_tag
airline,tau2,actions_only,flat32,step_best,42,0,18,0.0,0.0,17.59,0,0,airline_rollout_actions_only_flat32
airline,tau2,actions_only,lr3e_3,step_best,42,9,18,50.0,29.03,70.97,0,0,airline_rollout_actions_only_lr3e_3
airline,tau2,actions_only,lr3e_3_smoke,step_best,42,2,7,28.57,8.22,64.11,0,1,airline_rollout_actions_only_lr3e_3_smoke
airline,tau2,actions_only,sgdlr1e_3,step_0020,42,10,18,55.56,33.72,75.44,0,0,airline_rollout_actions_only_sgdlr1e_3_step_0020
airline,tau2,actions_only,sgdlr1e_3,step_0020,777,9,18,50.0,29.03,70.97,0,0,airline_rollout_actions_only_sgdlr1e_3_s777_step_0020
airline,tau2,actions_only,sgdlr1e_3,step_0020,1234,10,18,55.56,33.72,75.44,0,0,airline_rollout_actions_only_sgdlr1e_3_s1234_step_0020
airline,tau2,actions_only,sgdlr1e_3,step_best,42,11,18,61.11,38.62,79.7,0,0,airline_rollout_actions_only_sgdlr1e_3_step_best
airline,tau2,actions_only,x1seed0,step_best,42,10,18,55.56,33.72,75.44,0,0,airline_rollout_actions_only_x1seed0
airline,tau2,actions_only,x1seed1,step_best,42,7,18,38.89,20.3,61.38,0,0,airline_rollout_actions_only_x1seed1
airline,tau2,actions_only,x1seed42,step_best,42,6,18,33.33,16.28,56.25,0,0,airline_rollout_actions_only_x1seed42
airline,tau2,actions_only,x1seed7,step_best,42,6,18,33.33,16.28,56.25,0,0,airline_rollout_actions_only_x1seed7
airline,tau2,actions_only,x3,step_best,42,10,18,55.56,33.72,75.44,0,0,airline_rollout_actions_only_x3
airline,tau2,base,base,step_best,42,10,18,55.56,33.72,75.44,0,0,airline_rollout_base
airline,tau2,expert_thoughts,lr3e_3,step_best,42,6,18,33.33,16.28,56.25,0,0,airline_rollout_expert_thoughts_lr3e_3
airline,tau2,expert_thoughts,x3,step_best,42,0,18,0.0,0.0,17.59,0,0,airline_rollout_expert_thoughts_x3
airline,tau2,expert_thoughts_all,lr3e_3,step_best,42,9,18,50.0,29.03,70.97,0,0,airline_rollout_expert_thoughts_all_lr3e_3
airline,tau2,expert_thoughts_all,lr3e_3_fixeval,step_best,42,5,18,27.78,12.5,50.87,0,0,airline_rollout_expert_thoughts_all_lr3e_3_fixeval
airline,tau2,expert_thoughts_all,sgdlr1e_3,step_0020,42,14,18,77.78,54.78,91.0,0,0,airline_rollout_expert_thoughts_all_sgdlr1e_3_step_0020
airline,tau2,expert_thoughts_all,sgdlr1e_3,step_0020,777,13,18,72.22,49.13,87.5,0,0,airline_rollout_expert_thoughts_all_sgdlr1e_3_s777_step_0020
airline,tau2,expert_thoughts_all,sgdlr1e_3,step_0020,1234,11,18,61.11,38.62,79.7,0,0,airline_rollout_expert_thoughts_all_sgdlr1e_3_s1234_step_0020
airline,tau2,expert_thoughts_all,sgdlr1e_3,step_best,42,10,18,55.56,33.72,75.44,0,0,airline_rollout_expert_thoughts_all_sgdlr1e_3_step_best
airline,tau2,thoughts_base,lr3e_3,step_best,42,8,18,44.44,24.56,66.28,0,0,airline_rollout_thoughts_base_lr3e_3
airline,tau2,thoughts_base_adamw30,sgdlr1e_3,step_0020,42,12,18,66.67,43.75,83.72,0,0,airline_rollout_thoughts_base_adamw30_sgdlr1e_3_step_0020
airline,tau2,thoughts_base_adamw30,sgdlr1e_3,step_best,42,11,18,61.11,38.62,79.7,0,0,airline_rollout_thoughts_base_adamw30_sgdlr1e_3_step_best
airline,tau2,thoughts_policy,lr3e_3,step_best,42,13,18,72.22,49.13,87.5,0,0,airline_rollout_thoughts_policy_lr3e_3
airline,tau2,thoughts_policy,x1seed0,step_best,42,9,18,50.0,29.03,70.97,0,0,airline_rollout_thoughts_policy_x1seed0
airline,tau2,thoughts_policy,x1seed1,step_best,42,8,18,44.44,24.56,66.28,0,0,airline_rollout_thoughts_policy_x1seed1
airline,tau2,thoughts_policy,x1seed42,step_best,42,10,18,55.56,33.72,75.44,0,0,airline_rollout_thoughts_policy_x1seed42
airline,tau2,thoughts_policy,x1seed7,step_best,42,8,18,44.44,24.56,66.28,0,0,airline_rollout_thoughts_policy_x1seed7
airline,tau2,thoughts_policy,x3,step_best,42,10,18,55.56,33.72,75.44,0,0,airline_rollout_thoughts_policy_x3
airline,tau2,thoughts_policy_adamw30,flat32,step_0020,42,2,4,50.0,15.0,85.0,0,1,airline_rollout_thoughts_policy_adamw30_flat32_step_0020
airline,tau2,thoughts_policy_adamw30,flat32,step_best,42,10,18,55.56,33.72,75.44,0,0,airline_rollout_thoughts_policy_adamw30_flat32
airline,tau2,thoughts_policy_adamw30,lr3e_3_smoke,step_best,42,0,3,0.0,0.0,56.15,0,1,airline_rollout_thoughts_policy_adamw30_lr3e_3_smoke
airline,tau2,thoughts_policy_adamw30,sgdlr1e_3,step_0020,42,11,18,61.11,38.62,79.7,0,0,airline_rollout_thoughts_policy_adamw30_sgdlr1e_3_step_0020
airline,tau2,thoughts_policy_adamw30,sgdlr1e_3,step_0020,777,8,18,44.44,24.56,66.28,0,0,airline_rollout_thoughts_policy_adamw30_sgdlr1e_3_s777_step_0020
airline,tau2,thoughts_policy_adamw30,sgdlr1e_3,step_0020,1234,14,18,77.78,54.78,91.0,0,0,airline_rollout_thoughts_policy_adamw30_sgdlr1e_3_s1234_step_0020
airline,tau2,thoughts_policy_adamw30,sgdlr1e_3,step_best,42,8,18,44.44,24.56,66.28,0,0,airline_rollout_thoughts_policy_adamw30_sgdlr1e_3_step_best
airline,tau2,thoughts_policy_adamw30,sgdlr1e_3_rep3,step_0020,42,15,18,83.33,60.78,94.16,0,0,airline_rollout_thoughts_policy_adamw30_sgdlr1e_3_rep3_step_0020
finance,snorkel,actions_only,sgdlr1e_3,step_0020,42,1,10,10.0,1.79,40.42,0,0,finance_rollout_actions_only_sgdlr1e_3_step_0020_fair
finance,snorkel,actions_only,sgdlr1e_3,step_best,42,0,10,0.0,-0.0,27.75,0,0,finance_rollout_actions_only_sgdlr1e_3_step_best_fair
finance,snorkel,actions_only,v3_fair,step_best,42,0,10,0.0,-0.0,27.75,0,0,finance_rollout_actions_only_v3_fair
finance,snorkel,actions_only,v3_fair,step_best,42,0,10,0.0,-0.0,27.75,1,0,finance_rollout_actions_only_v3_fair
finance,snorkel,actions_only,v3_hard,step_best,42,0,16,0.0,0.0,19.36,0,0,finance_rollout_actions_only_v3_hard
finance,snorkel,actions_only,v3_hard,step_best,42,0,29,0.0,0.0,11.7,1,0,finance_rollout_actions_only_v3_hard
finance,snorkel,expert_thoughts,v3_fair,step_best,42,0,10,0.0,-0.0,27.75,0,0,finance_rollout_expert_thoughts_v3_fair
finance,snorkel,expert_thoughts,v3_hard,step_best,42,0,29,0.0,0.0,11.7,0,0,finance_rollout_expert_thoughts_v3_hard
finance,snorkel,expert_thoughts_all,sgdlr1e_3,step_0020,42,1,10,10.0,1.79,40.42,0,0,finance_rollout_expert_thoughts_all_sgdlr1e_3_step_0020_fair
finance,snorkel,expert_thoughts_all,sgdlr1e_3,step_best,42,0,10,0.0,-0.0,27.75,0,0,finance_rollout_expert_thoughts_all_sgdlr1e_3_step_best_fair
finance,snorkel,expert_thoughts_all,v3_fair,step_best,42,0,10,0.0,-0.0,27.75,0,0,finance_rollout_expert_thoughts_all_v3_fair
finance,snorkel,expert_thoughts_all,v3_hard,step_best,42,0,29,0.0,0.0,11.7,0,0,finance_rollout_expert_thoughts_all_v3_hard
finance,snorkel,thoughts_base,v3_fair,step_best,42,2,10,20.0,5.67,50.98,0,0,finance_rollout_thoughts_base_v3_fair
finance,snorkel,thoughts_base,v3_hard,step_best,42,0,29,0.0,0.0,11.7,0,0,finance_rollout_thoughts_base_v3_hard
finance,snorkel,thoughts_policy,v3_fair,step_best,42,0,10,0.0,-0.0,27.75,0,0,finance_rollout_thoughts_policy_v3_fair
finance,snorkel,thoughts_policy,v3_hard,step_best,42,0,29,0.0,0.0,11.7,0,0,finance_rollout_thoughts_policy_v3_hard
finance,snorkel,thoughts_policy_adamw30,sgdlr1e_3,step_0020,42,0,10,0.0,-0.0,27.75,0,0,finance_rollout_thoughts_policy_adamw30_sgdlr1e_3_step_0020_fair
finance,snorkel,thoughts_policy_adamw30,sgdlr1e_3,step_best,42,0,10,0.0,-0.0,27.75,0,0,finance_rollout_thoughts_policy_adamw30_sgdlr1e_3_step_best_fair
insurance,snorkel,BASE,default,step_best,42,12,40,30.0,18.07,45.43,0,0,insurance_rollout_BASE
insurance,snorkel,actions_only,sgdlr1e_3,step_0020,42,20,40,50.0,35.2,64.8,0,0,insurance_rollout_actions_only_sgdlr1e_3_step_0020
insurance,snorkel,actions_only,sgdlr1e_3,step_0020,555,22,40,55.0,39.83,69.29,0,0,insurance_rollout_actions_only_seed555_step_0020
insurance,snorkel,actions_only,sgdlr1e_3,step_0020,777,21,40,52.5,37.5,67.06,0,0,insurance_rollout_actions_only_seed777_step_0020
insurance,snorkel,actions_only,sgdlr1e_3,step_0020,999,21,40,52.5,37.5,67.06,0,0,insurance_rollout_actions_only_seed999_step_0020
insurance,snorkel,actions_only,sgdlr1e_3,step_0020,1234,23,40,57.5,42.19,71.49,0,0,insurance_rollout_actions_only_seed1234_step_0020
insurance,snorkel,actions_only,sgdlr1e_3,step_best,42,4,40,10.0,3.96,23.05,0,0,insurance_rollout_actions_only_sgdlr1e_3_step_best
insurance,snorkel,actions_only,sgdlr1e_3_rep2,step_0020,42,20,40,50.0,35.2,64.8,0,0,insurance_rollout_actions_only_sgdlr1e_3_rep2_step_0020
insurance,snorkel,actions_only,sgdlr1e_3_rep2,step_best,42,4,40,10.0,3.96,23.05,0,0,insurance_rollout_actions_only_sgdlr1e_3_rep2_step_best
